NumberOfProcess, TotalCreationTime, TotalRSS
1000, 0.040123, 73376
1000, 0.028072, 73224
1000, 0.034037, 73448
1000, 0.047146, 73304
1000, 0.045101, 73284
1000, 0.040005, 73284
1000, 0.045943, 73388
1000, 0.037321, 73316
1000, 0.033748, 73448
1000, 0.025679, 73376
1000, 0.028655, 73284
1000, 0.026003, 73264
1000, 0.028217, 73376
1000, 0.029216, 73388
1000, 0.026563, 73228
1000, 0.035977, 73372
1000, 0.039112, 73304
1000, 0.032001, 73376
1000, 0.024365, 73300
1000, 0.037955, 73388
1000, 0.032784, 73228
1000, 0.023199, 73272
1000, 0.034296, 73300
1000, 0.026368, 73376
1000, 0.027029, 73332
1000, 0.038784, 73228
1000, 0.037336, 73388
1000, 0.025833, 73264
1000, 0.037274, 73300
1000, 0.031424, 73372
1000, 0.042818, 73272
1000, 0.041269, 73376
1000, 0.047361, 73228
1000, 0.041574, 73376
1000, 0.034953, 73332
1000, 0.029183, 73372
1000, 0.026857, 73272
1000, 0.033531, 73376
1000, 0.039335, 73304
1000, 0.032985, 73224
1000, 0.028471, 73316
1000, 0.045162, 73316
1000, 0.036874, 73316
1000, 0.046115, 73316
1000, 0.033920, 73304
1000, 0.043279, 73224
1000, 0.039513, 73228
1000, 0.024915, 73332
1000, 0.023767, 73376
1000, 0.025745, 73232
1000, 0.031083, 73388
1000, 0.028049, 73332
1000, 0.028114, 73388
1000, 0.027509, 73332
1000, 0.028997, 73388
1000, 0.027766, 73376
1000, 0.035674, 73284
1000, 0.039919, 73304
1000, 0.038984, 73372
1000, 0.036504, 73232
1000, 0.036374, 73304
1000, 0.025654, 73224
1000, 0.028965, 73376
1000, 0.031183, 73388
1000, 0.033841, 73272
1000, 0.045663, 73372
1000, 0.035983, 73272
1000, 0.028873, 73376
1000, 0.028693, 73332
1000, 0.040653, 73232
1000, 0.024709, 73388
1000, 0.037951, 73272
1000, 0.030777, 73448
1000, 0.056445, 73376
1000, 0.047679, 73228
1000, 0.036273, 73284
1000, 0.037295, 73272
1000, 0.043413, 73228
1000, 0.034575, 73388
1000, 0.025987, 73388
1000, 0.028292, 73264
1000, 0.040205, 73448
1000, 0.046403, 73232
1000, 0.033494, 73376
1000, 0.037153, 73224
1000, 0.036038, 73376
1000, 0.037982, 73264
