NumberCreated, TotalCreationTime, TotalRSS
10, 0.000722, 1508
10, 0.000586, 1460
10, 0.000921, 1476
10, 0.000944, 1440
10, 0.000586, 1516
10, 0.000814, 1464
10, 0.000856, 1576
10, 0.000848, 1488
10, 0.001089, 1516
10, 0.000266, 1476
10, 0.000921, 1464
10, 0.000802, 1428
10, 0.000997, 1436
10, 0.000520, 1536
10, 0.001030, 1440
10, 0.000869, 1436
10, 0.000677, 1476
10, 0.000846, 1560
10, 0.000826, 1460
10, 0.000781, 1516
10, 0.000914, 1456
10, 0.000783, 1468
10, 0.000779, 1460
10, 0.000699, 1516
10, 0.000789, 1476
10, 0.000814, 1456
10, 0.000743, 1460
10, 0.000917, 1456
10, 0.000873, 1460
10, 0.000494, 1428
10, 0.000365, 1504
10, 0.000676, 1488
10, 0.000886, 1536
10, 0.000894, 1436
10, 0.000897, 1436
10, 0.000771, 1516
10, 0.000612, 1436
10, 0.000898, 1440
10, 0.000852, 1432
10, 0.000869, 1516
10, 0.000844, 1576
10, 0.000923, 1576
10, 0.000747, 1536
10, 0.000815, 1576
10, 0.000782, 1468
10, 0.000773, 1468
10, 0.000776, 1468
10, 0.000687, 1488
10, 0.000810, 1456
10, 0.000813, 1436
10, 0.000816, 1536
10, 0.000712, 1508
10, 0.000797, 1440
10, 0.000813, 1488
10, 0.000795, 1488
10, 0.000819, 1468
10, 0.000813, 1464
10, 0.000962, 1476
10, 0.000866, 1508
10, 0.000598, 1468
10, 0.000715, 1476
10, 0.000608, 1536
10, 0.000780, 1536
10, 0.000847, 1436
10, 0.000801, 1432
10, 0.000918, 1456
10, 0.000724, 1516
10, 0.000920, 1516
10, 0.001058, 1576
10, 0.000993, 1428
10, 0.000961, 1428
10, 0.000295, 1516
10, 0.000755, 1460
10, 0.000586, 1440
10, 0.000784, 1536
10, 0.000822, 1508
10, 0.000704, 1464
10, 0.000804, 1456
10, 0.000776, 1428
10, 0.000848, 1428
10, 0.000821, 1436
10, 0.000866, 1468
10, 0.000809, 1464
10, 0.000782, 1536
10, 0.000837, 1464
10, 0.000776, 1476
10, 0.000828, 1576
10, 0.000507, 1428
10, 0.000975, 1476
10, 0.000811, 1460
10, 0.000806, 1440
10, 0.000924, 1460
10, 0.000361, 1464
10, 0.000818, 1436
10, 0.000885, 1488
10, 0.000276, 1432
10, 0.000807, 1532
10, 0.000607, 1436
10, 0.000824, 1440
10, 0.000842, 1508
10, 0.000918, 1432
20, 0.001156, 2252
20, 0.001183, 2160
20, 0.000880, 2236
20, 0.001663, 2176
20, 0.001749, 2296
20, 0.001648, 2256
20, 0.001425, 2236
20, 0.001551, 2188
20, 0.001292, 2228
20, 0.001601, 2152
20, 0.001362, 2160
20, 0.001175, 2228
20, 0.001633, 2196
20, 0.001502, 2184
20, 0.000506, 2152
20, 0.000639, 2196
20, 0.001182, 2208
20, 0.001633, 2188
20, 0.001837, 2256
20, 0.000644, 2292
20, 0.001606, 2252
20, 0.001564, 2228
20, 0.001761, 3148
20, 0.001229, 2188
20, 0.001911, 2148
20, 0.001850, 2184
20, 0.001381, 2252
20, 0.001602, 2236
20, 0.001631, 2160
20, 0.001715, 2188
20, 0.001811, 2208
20, 0.001231, 2296
20, 0.001683, 2156
20, 0.001663, 2148
20, 0.001564, 2296
20, 0.001459, 2156
20, 0.001481, 2252
20, 0.001557, 2152
20, 0.000743, 2208
20, 0.001160, 2176
20, 0.001823, 2208
20, 0.001390, 2196
20, 0.001594, 2176
20, 0.001564, 2180
20, 0.001803, 2256
20, 0.001350, 2196
20, 0.001697, 2252
20, 0.001552, 2236
20, 0.001071, 2228
20, 0.001622, 2256
20, 0.001476, 2264
20, 0.001646, 2160
20, 0.001474, 2312
20, 0.001934, 2188
20, 0.001528, 2160
20, 0.001646, 2188
20, 0.000571, 2196
20, 0.001430, 2196
20, 0.001578, 2296
20, 0.001788, 2296
20, 0.001604, 2184
20, 0.001095, 2236
20, 0.001259, 2296
