NumberOfThreads, TotalCreationTime, TotalRSS
1000, 0.028045, 9556
1000, 0.016720, 9688
1000, 0.014942, 9636
1000, 0.014931, 9608
1000, 0.016716, 9632
1000, 0.014572, 9620
1000, 0.015745, 9628
1000, 0.016180, 9672
1000, 0.016033, 9688
1000, 0.015731, 9620
1000, 0.016673, 9672
1000, 0.019277, 9688
1000, 0.015255, 9688
1000, 0.031156, 9560
1000, 0.049388, 9648
1000, 0.048133, 9620
1000, 0.048350, 9636
1000, 0.044318, 9592
1000, 0.016850, 9608
1000, 0.021265, 9556
1000, 0.038459, 9620
1000, 0.032203, 9692
1000, 0.035180, 9628
1000, 0.022752, 9628
1000, 0.014759, 9648
1000, 0.016723, 9688
1000, 0.014291, 9700
1000, 0.015935, 9620
1000, 0.015063, 9640
1000, 0.015226, 9688
1000, 0.021836, 9600
1000, 0.014510, 9600
1000, 0.014887, 9696
1000, 0.014492, 9592
1000, 0.016805, 9628
1000, 0.017649, 9648
1000, 0.015040, 9620
1000, 0.015323, 9688
1000, 0.015132, 9628
1000, 0.015586, 9628
1000, 0.016803, 9628
1000, 0.015185, 9620
1000, 0.016491, 9672
1000, 0.014057, 9628
1000, 0.015520, 9684
1000, 0.014644, 9628
1000, 0.014466, 9600
1000, 0.015390, 9608
1000, 0.021322, 9628
1000, 0.036699, 9628
1000, 0.036419, 9628
1000, 0.021808, 9600
1000, 0.016253, 9688
1000, 0.014104, 9688
1000, 0.017405, 9620
1000, 0.018330, 9688
1000, 0.036023, 9628
1000, 0.015121, 9628
1000, 0.015109, 9628
1000, 0.038953, 9688
1000, 0.022384, 9628
1000, 0.015253, 9692
1000, 0.014006, 9592
1000, 0.016113, 9608
1000, 0.027045, 9608
1000, 0.015334, 9648
1000, 0.018900, 9700
1000, 0.033326, 9648
1000, 0.022795, 9620
1000, 0.020504, 9696
1000, 0.019504, 9628
1000, 0.052368, 9636
1000, 0.046112, 9636
1000, 0.014628, 9628
1000, 0.043143, 9692
1000, 0.016966, 9636
1000, 0.017617, 9684
1000, 0.018390, 9672
1000, 0.024482, 9696
1000, 0.039905, 9628
1000, 0.043798, 9592
1000, 0.016419, 9628
1000, 0.016216, 9688
1000, 0.016299, 9688
1000, 0.029618, 9648
1000, 0.015677, 9600
1000, 0.018853, 9628
1000, 0.018462, 9592
1000, 0.020888, 9620
1000, 0.017168, 9688
1000, 0.023638, 9688
1000, 0.015625, 9608
1000, 0.038123, 9556
1000, 0.015401, 9556
1000, 0.021805, 9628
1000, 0.029382, 9628
1000, 0.040462, 9684
1000, 0.039347, 9688
1000, 0.018912, 9620
1000, 0.036463, 9636
1000, 0.031434, 9672
2000, 0.033016, 18044
2000, 0.028634, 18068
2000, 0.030844, 18076
2000, 0.035703, 18132
2000, 0.029983, 18136
2000, 0.029496, 18120
2000, 0.028583, 18136
2000, 0.029793, 18132
2000, 0.028727, 18056
2000, 0.035565, 18136
2000, 0.034110, 18004
2000, 0.031061, 18068
2000, 0.028461, 18136
2000, 0.028794, 18076
2000, 0.035245, 18144
2000, 0.031193, 18136
2000, 0.029697, 18144
2000, 0.032700, 18136
2000, 0.031727, 18120
2000, 0.030798, 18136
2000, 0.030285, 18136
2000, 0.033895, 18056
2000, 0.032104, 18120
2000, 0.030073, 18076
2000, 0.036083, 18136
2000, 0.029266, 18144
2000, 0.028259, 18076
2000, 0.030418, 18076
2000, 0.028835, 18120
2000, 0.029825, 18076
2000, 0.029603, 18120
2000, 0.029971, 18076
2000, 0.029172, 18136
2000, 0.029354, 18120
2000, 0.033036, 18144
2000, 0.028036, 18076
2000, 0.038934, 18084
2000, 0.028788, 18136
2000, 0.032137, 18136
2000, 0.032351, 18048
2000, 0.030034, 18076
2000, 0.035142, 18040
2000, 0.030120, 18056
2000, 0.029289, 18068
2000, 0.029749, 18076
2000, 0.030881, 18136
2000, 0.028594, 18120
2000, 0.029750, 18076
2000, 0.033400, 18040
2000, 0.030620, 18084
2000, 0.029299, 18056
2000, 0.033847, 18120
2000, 0.028565, 18124
2000, 0.033185, 18136
2000, 0.041277, 18076
2000, 0.029153, 18040
2000, 0.036544, 18048
2000, 0.031492, 18076
2000, 0.036192, 18068
2000, 0.033198, 18096
2000, 0.032249, 18076
2000, 0.028865, 18120
2000, 0.030009, 18084
2000, 0.053484, 18048
2000, 0.034095, 18068
2000, 0.033969, 18076
2000, 0.030167, 18120
2000, 0.028452, 18040
2000, 0.038690, 18040
2000, 0.030165, 18076
2000, 0.030309, 18076
2000, 0.029493, 18040
2000, 0.027845, 18056
2000, 0.032645, 18136
2000, 0.034758, 18136
2000, 0.036056, 18144
2000, 0.029386, 18136
2000, 0.034070, 18068
2000, 0.031783, 18144
2000, 0.028797, 18076
2000, 0.028577, 18136
2000, 0.032360, 18040
2000, 0.038053, 18120
2000, 0.046138, 18040
2000, 0.032279, 18144
2000, 0.035022, 18068
2000, 0.030640, 18136
2000, 0.030454, 18136
2000, 0.034417, 18136
2000, 0.030349, 18096
2000, 0.029113, 18048
2000, 0.033351, 18004
2000, 0.027831, 18048
2000, 0.029110, 18136
2000, 0.030425, 18136
2000, 0.031680, 18132
2000, 0.036889, 18040
2000, 0.031444, 18136
2000, 0.031012, 18040
2000, 0.029403, 18144
2000, 0.028923, 18056
3000, 0.054493, 26260
3000, 0.044078, 26304
3000, 0.054300, 26232
3000, 0.046381, 26320
3000, 0.044957, 26232
3000, 0.044549, 26260
3000, 0.046076, 26240
3000, 0.043228, 26224
3000, 0.041220, 26252
3000, 0.045172, 26264
3000, 0.047438, 26320
3000, 0.047999, 26268
3000, 0.051959, 26260
3000, 0.048783, 26260
3000, 0.053416, 26304
3000, 0.063046, 26188
3000, 0.046709, 26260
3000, 0.042825, 26272
3000, 0.060717, 26268
3000, 0.054826, 26240
3000, 0.046071, 26320
3000, 0.043183, 26320
3000, 0.046805, 26224
3000, 0.045033, 26272
3000, 0.057977, 26260
3000, 0.059259, 26320
3000, 0.045779, 26320
3000, 0.048700, 26280
3000, 0.046428, 26232
3000, 0.042810, 26260
3000, 0.044990, 26188
3000, 0.057368, 26232
3000, 0.046139, 26260
3000, 0.045080, 26260
3000, 0.044993, 26224
3000, 0.046995, 26280
3000, 0.044837, 26260
3000, 0.046614, 26232
3000, 0.047504, 26324
3000, 0.056548, 26320
3000, 0.043907, 26280
3000, 0.045470, 26316
3000, 0.050088, 26188
3000, 0.046885, 26320
3000, 0.050278, 26304
3000, 0.051313, 26260
3000, 0.049269, 26268
3000, 0.047251, 26320
3000, 0.045537, 26224
3000, 0.045311, 26260
3000, 0.042062, 26316
3000, 0.044541, 26224
3000, 0.042399, 26260
3000, 0.044370, 26260
3000, 0.042731, 26320
3000, 0.044175, 26304
3000, 0.042535, 26320
3000, 0.043614, 26328
3000, 0.044183, 26320
3000, 0.042540, 26252
3000, 0.044653, 26252
3000, 0.042034, 26188
3000, 0.042620, 26328
3000, 0.047336, 26316
3000, 0.042959, 26188
3000, 0.046380, 26280
3000, 0.071116, 26280
3000, 0.048159, 26304
3000, 0.041616, 26304
3000, 0.042360, 26260
3000, 0.042525, 26260
3000, 0.042670, 26232
3000, 0.044067, 26260
3000, 0.046772, 26304
3000, 0.042430, 26268
3000, 0.043286, 26328
3000, 0.043224, 26224
3000, 0.045219, 26224
3000, 0.044141, 26188
3000, 0.041411, 26320
3000, 0.044867, 26224
3000, 0.072020, 26328
3000, 0.043482, 26260
3000, 0.050996, 26260
3000, 0.044199, 26304
3000, 0.047102, 26260
3000, 0.044796, 26320
3000, 0.043899, 26280
3000, 0.047262, 26280
3000, 0.053456, 26252
3000, 0.043550, 26240
3000, 0.046838, 26260
3000, 0.045164, 26324
3000, 0.046024, 26260
3000, 0.045523, 26260
3000, 0.045220, 26328
3000, 0.048219, 26188
3000, 0.060149, 26240
3000, 0.045574, 26316
3000, 0.048982, 26232
3000, 0.055702, 26232
4000, 0.072017, 34416
4000, 0.067946, 34452
4000, 0.056725, 34452
4000, 0.066207, 34416
4000, 0.063058, 34452
4000, 0.062891, 34452
4000, 0.062249, 34444
4000, 0.061320, 34504
4000, 0.061030, 34408
4000, 0.057545, 34408
4000, 0.059127, 34444
4000, 0.058962, 34424
4000, 0.059136, 34444
4000, 0.055476, 34488
4000, 0.057744, 34408
4000, 0.060002, 34444
4000, 0.062184, 34504
4000, 0.059016, 34444
4000, 0.061856, 34512
4000, 0.078180, 34444
4000, 0.059761, 34504
4000, 0.059222, 34512
4000, 0.060640, 34444
4000, 0.062320, 34488
4000, 0.057354, 34444
4000, 0.057833, 34488
4000, 0.056580, 34408
4000, 0.059200, 34504
4000, 0.059343, 34424
4000, 0.054358, 34504
4000, 0.057441, 34464
4000, 0.054973, 34448
4000, 0.055617, 34444
4000, 0.057699, 34452
4000, 0.062054, 34444
4000, 0.058496, 34488
4000, 0.061877, 34424
4000, 0.064330, 34500
4000, 0.059784, 34504
4000, 0.067211, 34372
4000, 0.061822, 34504
4000, 0.064939, 34512
4000, 0.062880, 34504
4000, 0.059131, 34424
4000, 0.065111, 34464
4000, 0.058886, 34408
4000, 0.066023, 34444
4000, 0.058087, 34372
4000, 0.068767, 34504
4000, 0.059305, 34444
4000, 0.059331, 34444
4000, 0.059297, 34372
4000, 0.057921, 34444
4000, 0.061060, 34372
4000, 0.060157, 34512
4000, 0.057926, 34408
4000, 0.058875, 34504
4000, 0.061138, 34444
4000, 0.057641, 34416
4000, 0.057969, 34504
4000, 0.060409, 34464
4000, 0.060890, 34444
4000, 0.060636, 34444
4000, 0.060688, 34464
