NumberCreated, TotalCreationTime, TotalRSS
10, 0.000222, 872
10, 0.000528, 876
10, 0.000425, 892
10, 0.000403, 788
10, 0.000678, 820
10, 0.000729, 792
10, 0.000644, 820
10, 0.000772, 848
10, 0.000690, 792
10, 0.000501, 800
10, 0.000503, 868
10, 0.000603, 888
10, 0.000581, 820
10, 0.000490, 876
10, 0.000474, 796
10, 0.000529, 840
10, 0.000481, 800
10, 0.000449, 792
10, 0.000671, 888
10, 0.000509, 800
10, 0.000374, 820
10, 0.000534, 824
10, 0.000639, 876
10, 0.000461, 888
10, 0.000515, 888
10, 0.000471, 852
10, 0.000389, 892
10, 0.000515, 876
10, 0.000486, 936
10, 0.000355, 840
10, 0.000535, 800
10, 0.000504, 888
10, 0.000448, 892
10, 0.000388, 868
10, 0.000407, 820
10, 0.000349, 848
10, 0.000627, 832
10, 0.000468, 868
10, 0.000421, 816
10, 0.000629, 788
10, 0.000408, 788
10, 0.000510, 824
10, 0.000556, 824
10, 0.000523, 824
10, 0.000499, 780
10, 0.000364, 824
10, 0.000536, 840
10, 0.000533, 892
10, 0.000465, 804
10, 0.000399, 832
10, 0.000594, 832
10, 0.000363, 892
10, 0.000464, 888
10, 0.000398, 824
10, 0.000389, 888
10, 0.000440, 796
10, 0.000239, 880
10, 0.000445, 848
10, 0.000375, 876
10, 0.000526, 876
10, 0.000538, 876
10, 0.000282, 936
10, 0.000604, 888
10, 0.000435, 824
10, 0.000513, 824
10, 0.000508, 892
10, 0.000398, 816
10, 0.000546, 868
10, 0.000322, 876
10, 0.000425, 852
10, 0.000547, 796
10, 0.000393, 792
10, 0.000461, 800
10, 0.000634, 936
10, 0.000473, 880
10, 0.000304, 876
10, 0.000536, 788
10, 0.000410, 876
10, 0.000606, 876
10, 0.000305, 868
10, 0.000411, 936
10, 0.000468, 788
10, 0.000437, 824
10, 0.000330, 788
10, 0.000564, 824
10, 0.000366, 820
10, 0.000488, 788
10, 0.000334, 840
10, 0.000524, 796
10, 0.000501, 788
10, 0.000388, 796
10, 0.000487, 828
10, 0.000435, 788
10, 0.000331, 800
10, 0.000502, 788
10, 0.000539, 796
10, 0.000531, 792
10, 0.000610, 848
10, 0.000319, 788
10, 0.000429, 824
10, 0.000549, 792
20, 0.000456, 824
20, 0.000720, 868
20, 0.000877, 868
